M_S,p_value
7.00,0.00000e+00
7.25,0.00000e+00
7.50,0.00000e+00
7.75,0.00000e+00
8.00,0.00000e+00
8.25,1.05000e-05
8.50,4.51600e-04
8.75,5.88360e-03
