M_S,p_value
7.00,3.00000e-06
7.25,8.40000e-05
7.50,1.35300e-03
7.75,6.75100e-03
8.00,3.10790e-02
8.25,7.08980e-02
8.50,1.26347e-01
8.75,1.89992e-01
