M_S,obs_med,sig2_lo,sig1_lo,exp_med,sig1_hi,sig2_hi
7.50,3.087301,2.807973,3.944523,5.845466,8.921614,13.276602
7.75,3.159107,2.236908,3.172292,4.797788,7.469352,11.370057
8.00,3.270366,1.790711,2.593146,4.005724,6.402984,9.994684
8.25,3.452420,1.402119,2.077934,3.315682,5.487482,8.829823
